"","Fungal","Male","Diet","day","est","lower","upper","Treatment","Sex"
"229",1,0,"C/C",7,0.740071941581971,0.709942488354395,0.770625704554115,"Fungal","Female"
"230",1,0,"C/C",8,0.601056520367578,0.562278822537053,0.633162864730314,"Fungal","Female"
"231",1,0,"C/C",9,0.462771866264309,0.420862922858876,0.500114186394937,"Fungal","Female"
"232",1,0,"C/C",10,0.356273688378489,0.323653407192118,0.39129500405345,"Fungal","Female"
"233",1,0,"C/C",11,0.264105562117915,0.231458724830543,0.295348130898964,"Fungal","Female"
"234",1,0,"C/C",12,0.189338358957277,0.161176540329581,0.219145997502302,"Fungal","Female"
"235",1,1,"G/G",0,1,NA,NA,"Fungal","Male"
"236",1,1,"G/G",1,0.997469949778557,0.995072114911299,0.998950069563475,"Fungal","Male"
"237",1,1,"G/G",2,0.996511947959191,0.993533572260756,0.998583552554736,"Fungal","Male"
"238",1,1,"G/G",3,0.995802510376264,0.992154219297005,0.998163901495865,"Fungal","Male"
"239",1,1,"G/G",4,0.994715102230769,0.990038829286722,0.997662095864652,"Fungal","Male"
"240",1,1,"G/G",5,0.992774556850531,0.987166274181835,0.996245364405829,"Fungal","Male"
"241",1,1,"G/G",6,0.989182662496393,0.982426370259044,0.993662496862336,"Fungal","Male"
"242",1,1,"G/G",7,0.982824270877939,0.974713747225427,0.989530138119778,"Fungal","Male"
"243",1,1,"G/G",8,0.973809410902403,0.962510141500915,0.983911917862132,"Fungal","Male"
"244",1,1,"G/G",9,0.962598117832827,0.948619818979048,0.976894368463185,"Fungal","Male"
"245",1,1,"G/G",10,0.950159312200302,0.933128596266248,0.967992760827272,"Fungal","Male"
"246",1,1,"G/G",11,0.936119132563235,0.91446511169294,0.95812274588709,"Fungal","Male"
"247",1,1,"G/G",12,0.920752888318677,0.894947121885773,0.94975784487869,"Fungal","Male"
"248",1,0,"G/G",0,1,NA,NA,"Fungal","Female"
"249",1,0,"G/G",1,0.98614894162747,0.978347686783478,0.992744830261808,"Fungal","Female"
"250",1,0,"G/G",2,0.980945407574597,0.971471074473693,0.98961294621008,"Fungal","Female"
"251",1,0,"G/G",3,0.977106487836817,0.966161050123627,0.987195909768216,"Fungal","Female"
"252",1,0,"G/G",4,0.971246159837561,0.956287137859079,0.983776569678987,"Fungal","Female"
"253",1,0,"G/G",5,0.956072075086647,0.940616448510973,0.968758006935718,"Fungal","Female"
"254",1,0,"G/G",6,0.928532448164107,0.912429809055199,0.943495898411634,"Fungal","Female"
"255",1,0,"G/G",7,0.881482025946345,0.862634733146446,0.900125715834641,"Fungal","Female"
"256",1,0,"G/G",8,0.818357282331331,0.788414266332527,0.848510707428038,"Fungal","Female"
"257",1,0,"G/G",9,0.745401911890759,0.706470289582837,0.785090180941086,"Fungal","Female"
"258",1,0,"G/G",10,0.705623997017892,0.663718696709669,0.747332902978136,"Fungal","Female"
"259",1,0,"G/G",11,0.662693111864484,0.619993749478335,0.704659116663644,"Fungal","Female"
"260",1,0,"G/G",12,0.618022397302026,0.571209808287214,0.664407415653722,"Fungal","Female"
